Tree_ID,Species,Barangay,Municipality,Latitude,Longitude,Age_Years,Height_m,Diameter_cm,Soil_Type,Survival_Status
T0020,Acacia,Poblacion,Talacogon,8.105494,125.684802,12,23.7,26.8,Loam,Alive
T0021,Gmelina,Salvacion,San Francisco,8.318003,125.165078,9,14.2,17.8,Loam,Alive
T0022,Yakal,Libertad,Bislig,8.534089,125.727245,1,1.3,0.6,Sandy,Dead
T0023,Mahogany,Salvacion,Talacogon,8.323203,125.778186,9,15.2,19.5,Loam,Alive
T0024,Acacia,San Isidro,San Francisco,8.246876,126.044456,3,3.8,4.6,Sandy,Dead
T0025,Molave,Salvacion,San Francisco,8.609564,125.754019,6,10.7,12.7,Loam,Alive
T0026,Bagras,San Roque,Talacogon,8.680705,125.796402,10,19.7,23.5,Clay,Alive
T0027,Bagras,Poblacion,Prosperidad,8.728216,125.551675,4,7.1,9.2,Loam,Dead
T0028,Narra,Salvacion,Bislig,8.798345,125.226076,11,22.4,25.9,Sandy,Alive
T0029,Gmelina,Salvacion,San Francisco,8.512093,125.339744,7,13.4,13.6,Loam,Alive
T0030,Acacia,Taglatawan,Talacogon,8.93673,125.206281,12,20.3,27.8,Loam,Alive
T0031,Mahogany,Salvacion,San Francisco,8.695784,125.342825,10,18,22.8,Sandy,Alive
T0032,Molave,San Isidro,San Francisco,8.996254,126.448129,5,9.4,12.6,Sandy,Alive
T0033,Acacia,Sta. Cruz,Loreto,8.34921,126.088934,3,5,8.7,Clay,Dead
T0034,Mahogany,Taglatawan,Bunawan,8.850928,126.403452,4,7.5,10.5,Clay,Alive
T0035,Bagras,Libertad,Talacogon,8.101472,125.995253,13,21.9,26.4,Sandy,Alive
T0036,Mahogany,Sta. Cruz,Bislig,8.448424,126.491686,4,5.7,10.4,Clay,Alive
T0037,Acacia,Sta. Cruz,Bislig,8.746491,125.974449,7,11.2,17.6,Loam,Alive
T0038,Molave,San Isidro,Bislig,8.508814,125.954499,6,12.1,12.7,Clay,Alive
T0039,Yakal,Libertad,San Francisco,8.794811,125.753956,12,22.9,27.2,Sandy,Alive
T0040,Bagras,San Isidro,Rosario,8.499193,125.858006,1,-0.9,1.7,Sandy,Dead
T0041,Gmelina,Libertad,Loreto,8.747719,126.429608,13,24.1,28.5,Loam,Dead
T0042,Mahogany,Taglatawan,Bunawan,8.853009,125.441673,5,8.1,9.4,Sandy,Dead
T0043,Yakal,San Isidro,Bislig,8.372687,125.592037,6,11.7,16.7,Clay,Alive
T0044,Molave,Libertad,Rosario,8.615007,126.485081,2,2.3,2.3,Sandy,Dead
T0045,Gmelina,Salvacion,Talacogon,8.84867,125.204932,6,8.7,11.3,Loam,Alive
T0046,Bagras,Patin-ay,Bislig,8.810113,126.300608,13,21.6,29.6,Sandy,Alive
T0047,Narra,Poblacion,Prosperidad,8.396784,125.076153,3,3.7,3.6,Clay,Alive
T0048,Narra,Poblacion,Rosario,8.57828,125.053913,9,16.4,20.1,Loam,Alive
T0049,Mahogany,San Roque,Talacogon,8.038835,125.454898,11,19.9,22,Sandy,Dead
T0050,Narra,Libertad,San Francisco,8.215821,125.934336,4,6.6,9.7,Loam,Alive
T0051,Bagras,Libertad,Rosario,8.699512,125.20753,13,23.2,27.6,Sandy,Alive
T0052,Bagras,Patin-ay,Talacogon,8.744043,125.376291,10,16.8,25.3,Sandy,Alive
T0053,Acacia,Patin-ay,Loreto,8.156437,125.375364,14,25.5,32,Sandy,Alive
T0054,Bagras,Sta. Cruz,Talacogon,8.657111,125.653509,13,21.1,27.6,Sandy,Alive
T0055,Bagras,Salvacion,San Francisco,8.757846,125.02159,14,26.2,32,Loam,Alive
T0056,Acacia,Poblacion,Prosperidad,8.464674,125.974661,10,20.3,24.6,Sandy,Alive
T0057,Acacia,Libertad,Talacogon,8.374613,125.93879,10,22.8,22.2,Clay,Alive
T0058,Narra,Poblacion,Bunawan,8.615851,126.415837,2,3.7,3.6,Sandy,Dead
T0059,Molave,Salvacion,Bislig,8.575474,125.582255,12,21.9,25.9,Clay,Dead
T0060,Narra,Libertad,San Francisco,8.62594,126.23064,8,13.7,18,Sandy,Alive
T0061,Narra,Salvacion,Bunawan,8.844875,125.034908,2,3.6,1,Clay,Dead
T0062,Bagras,Poblacion,Bunawan,8.348337,126.404972,8,15.6,18.9,Sandy,Alive
T0063,Mahogany,San Isidro,San Francisco,8.17744,126.125922,3,5.4,6.8,Loam,Dead
T0064,Mahogany,Patin-ay,San Francisco,8.776413,125.511205,14,22.9,31.5,Sandy,Dead
T0065,Molave,Taglatawan,Talacogon,8.739909,125.357354,14,25.2,32.7,Loam,Alive
T0066,Bagras,Sta. Cruz,Talacogon,8.32005,126.343285,1,1.2,4.2,Clay,Dead
T0067,Narra,Sta. Cruz,Loreto,8.67677,125.723781,10,16.8,26.2,Loam,Alive
T0068,Acacia,Taglatawan,Rosario,8.328665,126.008778,4,9.9,9.6,Sandy,Dead
T0069,Narra,Libertad,Bunawan,8.68803,126.255446,1,1.2,2.6,Loam,Dead
T0070,Yakal,Poblacion,Rosario,8.706242,125.122023,5,9.7,8.1,Clay,Dead
T0071,Mahogany,Salvacion,Talacogon,8.88036,125.355028,7,11.5,15,Sandy,Dead
T0072,Acacia,Patin-ay,Prosperidad,8.558404,125.636333,10,16.9,18.2,Clay,Alive
T0073,Gmelina,Taglatawan,Talacogon,8.405202,125.85721,4,9.1,10.3,Clay,Alive
T0074,Acacia,Libertad,Bunawan,8.962173,125.562306,1,1.9,0.5,Sandy,Dead
T0075,Molave,San Roque,Bunawan,8.802109,126.466851,13,23.7,28.6,Clay,Alive
T0076,Mahogany,Sta. Cruz,Prosperidad,8.553854,126.453954,2,2.9,3.3,Loam,Alive
T0077,Mahogany,Sta. Cruz,Bunawan,8.995831,126.045388,3,5.2,8.6,Clay,Dead
T0078,Acacia,San Roque,Prosperidad,8.277381,125.282182,10,16,20.9,Loam,Alive
T0079,Bagras,Taglatawan,Loreto,8.360345,125.389925,11,20.3,28,Loam,Alive
T0080,Yakal,Taglatawan,Talacogon,8.813795,126.027097,13,23.2,29.9,Clay,Alive
T0081,Gmelina,Salvacion,Bunawan,8.919177,125.124123,14,25.1,30.2,Sandy,Dead
T0082,Yakal,San Roque,San Francisco,8.987276,125.225625,5,8.1,13.9,Loam,Alive
T0083,Narra,San Roque,Bislig,8.569081,125.095268,9,13.8,18.6,Loam,Alive
T0084,Molave,Patin-ay,Bunawan,8.864722,126.219352,15,27.5,33.4,Sandy,Alive
T0085,Narra,Patin-ay,Bunawan,8.726121,126.135622,3,4.9,3.4,Sandy,Dead
T0086,Narra,Salvacion,Prosperidad,8.954051,125.909262,14,25.7,31.8,Clay,Alive
T0087,Molave,Salvacion,Bislig,8.268672,125.033277,10,20.3,22.2,Sandy,Alive
T0088,Narra,Libertad,Prosperidad,8.852182,125.82786,5,8.2,16.1,Sandy,Alive
T0089,Molave,Poblacion,Loreto,8.784668,125.959042,11,19.1,23.5,Clay,Alive
T0090,Yakal,Poblacion,Talacogon,8.350588,125.884877,14,23.9,31,Loam,Alive
T0091,Acacia,Patin-ay,San Francisco,8.547446,125.676366,15,29.4,30.2,Sandy,Dead
T0092,Gmelina,Taglatawan,Loreto,8.949521,125.22061,8,15.1,18.8,Clay,Alive
T0093,Narra,Taglatawan,Bislig,8.045861,125.931209,2,5.3,1.5,Sandy,Dead
T0094,Narra,Libertad,Bislig,8.075863,125.19332,7,10,18.4,Clay,Alive
T0095,Molave,San Isidro,Talacogon,8.180067,126.044752,9,16.1,21.7,Loam,Alive
T0096,Narra,Salvacion,Loreto,8.17232,125.288434,3,4.6,8.7,Loam,Dead
T0097,Mahogany,Taglatawan,Rosario,8.031805,125.823073,5,6.8,10.6,Sandy,Alive
T0098,Yakal,San Isidro,Bislig,8.503417,126.035592,9,16.1,18,Sandy,Dead
T0099,Molave,San Roque,San Francisco,8.511657,125.235467,13,23.7,27,Sandy,Dead
T0100,Gmelina,Libertad,Talacogon,8.536591,126.386063,14,22.9,33.5,Loam,Alive
T0101,Narra,Libertad,San Francisco,8.747471,125.055025,8,15,16,Sandy,Dead
T0102,Mahogany,San Isidro,Loreto,8.749616,125.045708,2,5.9,-0.5,Sandy,Dead
T0103,Mahogany,Poblacion,Talacogon,8.269243,125.565926,10,19.8,22.4,Sandy,Alive
T0104,Yakal,San Isidro,Bislig,8.535336,125.349825,13,25.9,30.4,Loam,Alive
T0105,Gmelina,San Roque,Bunawan,8.498442,125.13038,15,27.6,36.3,Sandy,Alive
T0106,Acacia,San Isidro,Bunawan,8.564459,125.568159,5,11.1,8.4,Clay,Alive
T0107,Gmelina,Patin-ay,San Francisco,8.356097,126.479773,5,8.1,8.5,Loam,Alive
T0108,Mahogany,Taglatawan,Bislig,8.850818,125.131831,14,25.3,29.1,Sandy,Alive
T0109,Acacia,San Roque,Bunawan,8.982379,125.168058,2,4.8,4.7,Clay,Alive
T0110,Yakal,Patin-ay,Bislig,8.975067,125.736123,6,11.6,13.6,Clay,Alive
T0111,Bagras,Poblacion,Bislig,8.571613,125.419969,12,20.2,27.7,Sandy,Dead
T0112,Mahogany,Sta. Cruz,Talacogon,8.52984,126.060845,14,26.2,27.5,Clay,Alive
T0113,Gmelina,Poblacion,Rosario,8.48114,125.798884,1,0.7,-2.1,Clay,Dead
T0114,Gmelina,Salvacion,San Francisco,8.548922,125.302596,8,13.5,19.1,Clay,Alive
T0115,Yakal,Libertad,Loreto,8.760228,125.893458,8,16.3,18.5,Sandy,Alive
T0116,Bagras,Sta. Cruz,Bislig,8.850727,126.118962,2,4.2,3.2,Sandy,Dead
T0117,Mahogany,Salvacion,Rosario,8.181233,125.099744,8,15.3,18.6,Clay,Alive
T0118,Bagras,Patin-ay,Prosperidad,8.799537,126.237699,5,9.8,13.1,Clay,Alive
T0119,Mahogany,Poblacion,Rosario,8.35883,126.315801,9,15.4,23.6,Loam,Alive
T0120,Bagras,Salvacion,Loreto,8.899667,125.936152,1,1.8,5.6,Clay,Dead
T0121,Bagras,Libertad,Prosperidad,8.899575,125.575837,14,21.8,33.7,Clay,Alive
T0122,Bagras,Taglatawan,Talacogon,8.730549,126.040576,4,8,11.3,Clay,Alive
T0123,Bagras,Taglatawan,Loreto,8.893893,126.182896,6,12,15.2,Loam,Alive
T0124,Bagras,Salvacion,Talacogon,8.143128,125.306817,2,4.3,5.1,Clay,Dead
T0125,Yakal,Salvacion,Prosperidad,8.821257,125.165948,4,10.6,6.9,Loam,Alive
T0126,Gmelina,Libertad,Rosario,8.539861,125.729536,4,8.6,10.7,Loam,Alive
T0127,Gmelina,Sta. Cruz,San Francisco,8.693948,125.814087,11,21.6,24.9,Sandy,Dead
T0128,Gmelina,San Roque,Bunawan,8.342524,125.341026,7,13.6,15.3,Loam,Alive
T0129,Mahogany,San Isidro,Bunawan,8.58623,125.758833,9,17.5,17.9,Clay,Alive
T0130,Molave,Sta. Cruz,Loreto,8.102213,126.378126,5,9.3,11.9,Sandy,Alive
T0131,Bagras,Poblacion,Prosperidad,8.576288,125.910073,6,10.3,12.3,Sandy,Alive
T0132,Molave,Libertad,Prosperidad,8.186321,126.256236,1,1.9,4.4,Sandy,Dead
T0133,Mahogany,San Isidro,Bunawan,8.399003,125.082142,9,17.1,18.5,Sandy,Dead
T0134,Acacia,San Roque,Bislig,8.114267,125.621757,10,17.7,23.3,Sandy,Alive
T0135,Yakal,Salvacion,Loreto,8.737501,125.678327,11,20.5,21.1,Loam,Alive
T0136,Narra,Poblacion,Bislig,8.033879,125.46721,13,26.2,30.9,Loam,Alive
T0137,Yakal,Libertad,San Francisco,8.663537,125.267054,4,10.6,5.5,Loam,Dead
T0138,Molave,San Isidro,San Francisco,8.53507,125.276694,7,11.6,15.7,Loam,Alive
T0139,Gmelina,Sta. Cruz,San Francisco,8.209906,126.347081,14,29.1,28.6,Loam,Alive
T0140,Molave,Patin-ay,Talacogon,8.775528,125.679933,2,1.3,10,Loam,Alive
T0141,Yakal,Sta. Cruz,San Francisco,8.765356,125.154472,8,12.3,16,Sandy,Dead
T0142,Mahogany,San Isidro,Prosperidad,8.408734,125.03808,12,23.4,22.1,Sandy,Alive
T0143,Bagras,San Roque,Loreto,8.196113,125.758262,8,14.5,17.3,Loam,Alive
T0144,Mahogany,Sta. Cruz,Rosario,8.652746,125.357274,2,5.5,5.2,Sandy,Dead
T0145,Molave,Poblacion,Prosperidad,8.94441,125.211623,14,26.1,30.2,Loam,Alive
T0146,Acacia,Salvacion,Bislig,8.085509,125.311829,3,7.5,8.5,Loam,Dead
T0147,Bagras,Patin-ay,San Francisco,8.624761,125.503799,15,29,29.5,Clay,Alive
T0148,Gmelina,Poblacion,Bunawan,8.624149,125.614117,14,26.6,30.1,Clay,Alive
T0149,Yakal,San Isidro,Talacogon,8.974547,126.169638,1,1.7,4.4,Clay,Dead
T0150,Mahogany,San Roque,Bunawan,8.799855,125.63782,3,8,6.8,Clay,Dead
T0151,Acacia,Libertad,Prosperidad,8.40255,125.327035,6,8.9,13.4,Loam,Alive
T0152,Yakal,Salvacion,San Francisco,8.018391,126.371448,5,9,13.7,Sandy,Alive
T0153,Acacia,Taglatawan,Prosperidad,8.405248,125.746197,12,22,28.4,Clay,Alive
T0154,Mahogany,San Roque,Rosario,8.665037,125.263057,13,22.9,30.9,Clay,Alive
T0155,Bagras,Sta. Cruz,Talacogon,8.422036,125.530807,6,10.3,13.6,Clay,Alive
T0156,Bagras,Taglatawan,Bunawan,8.245349,125.583943,8,15.6,17.4,Sandy,Dead
T0157,Mahogany,Libertad,Prosperidad,8.610405,126.42396,7,13.3,15.8,Clay,Alive
T0158,Bagras,Taglatawan,San Francisco,8.21494,125.046775,4,7.6,8.2,Sandy,Dead
T0159,Molave,Poblacion,Rosario,8.955236,125.232008,9,15.7,20.3,Loam,Alive
T0160,Molave,Sta. Cruz,Rosario,8.728189,125.743237,11,18.4,28.8,Sandy,Alive
T0161,Acacia,Patin-ay,San Francisco,8.077765,125.003509,3,6.3,3.5,Loam,Dead
T0162,Acacia,San Isidro,Rosario,8.091582,126.37597,13,24.4,30.6,Clay,Alive
T0163,Bagras,San Isidro,Rosario,8.086705,126.437256,3,6.6,7.8,Sandy,Dead
T0164,Acacia,Salvacion,Loreto,8.692277,126.273793,9,16.6,21.3,Loam,Alive
T0165,Narra,San Isidro,Talacogon,8.051596,126.004876,10,16.1,27.2,Loam,Alive
T0166,Gmelina,Poblacion,Bislig,8.120523,126.096536,3,5.3,8,Clay,Dead
T0167,Mahogany,Patin-ay,Talacogon,8.844549,125.478651,10,20,24.6,Loam,Alive
T0168,Yakal,Patin-ay,San Francisco,8.560677,125.721593,3,3.8,9.2,Clay,Dead
T0169,Narra,Sta. Cruz,Prosperidad,8.065356,125.472936,1,4.9,3.2,Loam,Dead
T0170,Molave,Taglatawan,Prosperidad,8.520168,125.640226,12,21.7,28.5,Clay,Dead
T0171,Mahogany,Sta. Cruz,Prosperidad,8.798783,126.496901,4,7.2,7.7,Sandy,Dead
T0172,Yakal,San Roque,Rosario,8.271687,125.597431,14,22.7,27.3,Sandy,Dead
T0173,Acacia,Taglatawan,Bunawan,8.238777,125.165711,14,26.4,29.9,Loam,Alive
T0174,Gmelina,Sta. Cruz,Rosario,8.589109,125.415898,5,8.9,11.5,Loam,Alive
T0175,Molave,Salvacion,Prosperidad,8.679647,125.327381,10,17,23.6,Clay,Alive
T0176,Gmelina,Sta. Cruz,Prosperidad,8.982331,126.326298,8,17.9,16.3,Clay,Alive
T0177,Acacia,Poblacion,San Francisco,8.991169,125.347508,4,6.5,10,Sandy,Dead
T0178,Bagras,Sta. Cruz,San Francisco,8.120339,125.070418,9,15.3,18.7,Clay,Alive
T0179,Bagras,Taglatawan,Talacogon,8.350125,125.086764,15,27.1,30,Sandy,Alive
T0180,Molave,San Roque,Prosperidad,8.525032,125.39035,3,6.6,8.7,Sandy,Dead
T0181,Molave,San Roque,Bunawan,8.815833,125.336661,8,11,15.8,Sandy,Alive
T0182,Acacia,Patin-ay,Rosario,8.476677,125.066565,2,4,5.1,Loam,Dead
T0183,Mahogany,San Roque,Loreto,8.550857,125.13048,8,14,17.8,Loam,Alive
T0184,Gmelina,Salvacion,Prosperidad,8.962122,125.164203,12,16.4,24.7,Loam,Alive
T0185,Gmelina,Sta. Cruz,Loreto,8.824681,125.521714,2,5.3,4.7,Loam,Dead
T0186,Gmelina,Libertad,Prosperidad,8.52126,126.302241,12,22.8,27.4,Clay,Alive
T0187,Yakal,San Roque,Loreto,8.680141,125.927917,6,11.1,12.9,Clay,Dead
T0188,Yakal,Libertad,Rosario,8.46547,126.318607,10,17.4,20.3,Sandy,Dead
T0189,Narra,San Roque,Talacogon,8.16076,126.226951,14,24,32.5,Clay,Alive
T0190,Bagras,San Roque,Bislig,8.084098,125.48965,9,14.2,21.3,Clay,Alive
T0191,Mahogany,Patin-ay,Prosperidad,8.539985,126.169768,6,12.6,12.7,Sandy,Alive
T0192,Narra,Salvacion,Prosperidad,8.179497,126.130548,6,11.1,14,Sandy,Alive
T0193,Gmelina,Poblacion,Talacogon,8.300964,126.062258,6,10.4,16.9,Sandy,Alive
T0194,Molave,Libertad,Rosario,8.074694,126.278622,14,24.4,31.6,Clay,Alive
T0195,Gmelina,Libertad,Bislig,8.024587,125.033185,6,12.5,12.3,Clay,Alive
T0196,Gmelina,Sta. Cruz,Prosperidad,8.001029,125.238407,2,1.8,4,Sandy,Dead
T0197,Mahogany,Libertad,Bislig,8.693682,125.331154,2,2.5,5.9,Sandy,Dead
T0198,Bagras,Salvacion,Bunawan,8.868054,126.444855,8,15.4,17.4,Sandy,Alive
T0199,Bagras,San Isidro,Rosario,8.638526,125.596392,9,13.4,18.7,Sandy,Alive
T0200,Molave,Libertad,Rosario,8.724423,126.118756,3,5.5,6.1,Sandy,Dead
T0201,Bagras,San Roque,Loreto,8.864358,125.709815,8,13.8,16.6,Sandy,Alive
T0202,Acacia,Poblacion,Bunawan,8.153658,125.68054,2,4.6,7.1,Sandy,Dead
T0203,Yakal,Poblacion,Bunawan,8.032526,126.381272,3,5.2,3.9,Loam,Alive
T0204,Bagras,Taglatawan,Bunawan,8.598327,125.91096,4,5.2,8.2,Loam,Alive
T0205,Gmelina,Taglatawan,San Francisco,8.064209,125.872957,5,6.8,14.9,Clay,Dead
T0206,Acacia,Patin-ay,San Francisco,8.149581,125.696898,14,24.5,26,Sandy,Dead
T0207,Yakal,San Isidro,Bislig,8.291663,126.042473,1,3.2,3.9,Sandy,Dead
T0208,Bagras,Taglatawan,Prosperidad,8.102792,125.856357,15,30.6,33,Loam,Alive
T0209,Bagras,San Isidro,Loreto,8.559649,125.014656,12,21.7,24.8,Clay,Dead
T0210,Bagras,Libertad,Loreto,8.082509,126.236771,10,16.5,21.4,Loam,Alive
T0211,Mahogany,Taglatawan,Bislig,8.689465,126.20088,2,3.8,3.9,Sandy,Dead
T0212,Yakal,Sta. Cruz,Loreto,8.12422,126.344332,9,18.9,20.5,Clay,Dead
T0213,Acacia,Poblacion,Talacogon,8.714087,126.202592,14,24.7,35.6,Loam,Alive
T0214,Mahogany,Poblacion,Rosario,8.553001,125.896214,6,13.9,11.8,Loam,Alive
T0215,Gmelina,San Isidro,Bislig,8.73159,125.122445,6,13.4,15.4,Sandy,Alive
T0216,Gmelina,San Roque,Bislig,8.615742,125.493526,14,23.7,29.7,Clay,Alive
T0217,Narra,Salvacion,San Francisco,8.658708,125.747294,2,4.4,0.4,Loam,Dead
T0218,Acacia,Salvacion,San Francisco,8.081526,125.604892,13,23,25.3,Loam,Alive
T0219,Yakal,Taglatawan,Prosperidad,8.727169,126.11406,4,9.3,10.3,Clay,Alive
T0220,Narra,San Isidro,Talacogon,8.504845,125.814951,3,3.1,10.6,Loam,Dead
T0221,Yakal,Salvacion,Loreto,8.486669,126.310135,2,4.5,6.7,Sandy,Dead
T0222,Molave,Poblacion,Prosperidad,8.283855,125.538727,3,7.6,9.4,Sandy,Dead
T0223,Molave,Poblacion,Prosperidad,8.131568,126.073737,14,24.4,29.5,Sandy,Dead
T0224,Molave,Poblacion,Loreto,8.180977,126.281578,13,22.1,28.3,Sandy,Alive
T0225,Acacia,San Isidro,Loreto,8.592918,125.869122,4,5.5,9.4,Loam,Alive
T0226,Mahogany,Libertad,San Francisco,8.969412,125.3872,5,9,10.8,Clay,Alive
T0227,Gmelina,Libertad,San Francisco,8.39666,125.355542,15,27.1,30.4,Sandy,Alive
T0228,Bagras,Patin-ay,Talacogon,8.828883,125.646331,4,8.1,9,Clay,Alive
T0229,Yakal,Taglatawan,Loreto,8.359251,125.569038,11,21.1,26.6,Sandy,Alive
T0230,Molave,San Isidro,Bunawan,8.84417,126.208505,12,21.9,28.6,Clay,Alive
T0231,Gmelina,Salvacion,Loreto,8.034188,126.480039,9,17.3,19.9,Clay,Alive
T0232,Gmelina,San Roque,San Francisco,8.12211,125.678299,5,11.6,12.5,Sandy,Alive
T0233,Mahogany,San Isidro,Bunawan,8.479897,126.028952,14,25.4,31.7,Clay,Dead
T0234,Molave,San Isidro,San Francisco,8.45474,125.773394,2,4.2,0.2,Clay,Alive
T0235,Yakal,Taglatawan,Bunawan,8.132715,125.215314,2,4.5,2.3,Clay,Dead
T0236,Molave,San Isidro,Prosperidad,8.093901,126.008903,6,10.5,13.6,Loam,Alive
T0237,Acacia,Poblacion,Talacogon,8.838115,126.416921,10,18.3,22.3,Clay,Alive
T0238,Gmelina,Taglatawan,Bunawan,8.11311,126.193266,4,5.6,10.1,Clay,Dead
T0239,Acacia,Taglatawan,Bunawan,8.393864,125.976849,10,16.5,21.1,Sandy,Dead
T0240,Yakal,San Roque,Talacogon,8.318112,126.299658,9,16.7,20.6,Clay,Alive
T0241,Bagras,San Isidro,Bunawan,8.738449,126.317773,13,24.8,28.3,Clay,Dead
T0242,Narra,Sta. Cruz,Bislig,8.317196,126.303351,1,2,0.1,Sandy,Dead
T0243,Bagras,Salvacion,Rosario,8.324586,125.549692,7,9.6,17.5,Sandy,Alive
T0244,Acacia,Taglatawan,Prosperidad,8.596485,125.81853,3,7.9,8.6,Loam,Dead
T0245,Bagras,Sta. Cruz,Loreto,8.463494,125.569679,10,15.6,22.3,Sandy,Alive
T0246,Molave,San Roque,Bislig,8.394365,125.824121,14,24.8,31.6,Sandy,Dead
T0247,Narra,Salvacion,San Francisco,8.060267,126.401654,6,10.1,12.3,Clay,Alive
T0248,Gmelina,Libertad,Talacogon,8.523085,126.005144,13,23.7,31.4,Clay,Alive
T0249,Mahogany,Libertad,Talacogon,8.610334,126.074226,1,0.2,2.3,Clay,Dead
T0250,Acacia,Taglatawan,San Francisco,8.799781,125.276878,15,27.2,31.1,Sandy,Alive
T0251,Acacia,San Isidro,Bunawan,8.962927,125.725318,7,11.9,17.7,Clay,Alive
T0252,Gmelina,San Isidro,San Francisco,8.112304,125.003876,6,10.9,13.3,Loam,Alive
T0253,Narra,Salvacion,Loreto,8.212045,125.916471,10,19.1,21.5,Sandy,Dead
T0254,Molave,Salvacion,Prosperidad,8.556637,125.383467,4,8.4,7.7,Clay,Alive
T0255,Molave,Salvacion,San Francisco,8.66755,125.143303,4,6.8,6.5,Clay,Alive
T0256,Gmelina,Patin-ay,Bunawan,8.235236,126.303889,1,1.5,1.9,Clay,Alive
T0257,Mahogany,San Isidro,Bislig,8.641972,125.910641,11,19,21.5,Sandy,Alive
T0258,Bagras,San Isidro,Prosperidad,8.496767,126.481678,3,7.9,8.4,Clay,Dead
T0259,Acacia,San Isidro,San Francisco,8.445791,126.086775,11,20.3,23.1,Loam,Alive
T0260,Gmelina,Taglatawan,Prosperidad,8.274161,125.119129,8,16.1,21,Clay,Alive
T0261,Molave,San Roque,Prosperidad,8.366956,125.515341,7,12.7,13.9,Sandy,Alive
T0262,Gmelina,San Isidro,Bunawan,8.800357,125.350568,5,9.9,7.9,Clay,Dead
T0263,Mahogany,San Roque,Rosario,8.230829,125.685288,6,11.8,17.1,Sandy,Dead
T0264,Bagras,San Isidro,Bislig,8.465206,125.090214,12,23.6,27.8,Clay,Alive
T0265,Bagras,Patin-ay,Prosperidad,8.409478,125.634034,7,11.5,17.9,Sandy,Dead
T0266,Yakal,Taglatawan,Loreto,8.79545,126.390767,13,22.3,30.2,Clay,Alive
T0267,Molave,Sta. Cruz,San Francisco,8.092929,125.385571,8,13.6,18.3,Loam,Alive
T0268,Narra,Taglatawan,Loreto,8.782028,126.063117,14,24.8,30,Loam,Alive
T0269,Gmelina,Poblacion,San Francisco,8.38091,125.519483,9,13.4,20.8,Clay,Alive
T0270,Bagras,Patin-ay,Loreto,8.447203,125.900892,7,13.3,14.3,Loam,Alive
T0271,Yakal,Taglatawan,Loreto,8.566575,125.586564,12,20.9,28.7,Sandy,Dead
T0272,Acacia,San Roque,Prosperidad,8.868057,126.208888,7,11.8,14.9,Clay,Alive
T0273,Gmelina,San Isidro,Loreto,8.173525,126.042427,2,3.7,5.5,Clay,Dead
T0274,Bagras,Sta. Cruz,Rosario,8.575163,125.719032,1,1.8,3.8,Sandy,Dead
T0275,Bagras,San Roque,San Francisco,8.76481,125.262258,3,4.2,7.3,Sandy,Dead
T0276,Acacia,Sta. Cruz,Bunawan,8.506108,125.348827,13,24.2,28.7,Clay,Alive
T0277,Molave,Poblacion,Bislig,8.311816,125.759213,2,4.7,3.5,Loam,Alive
T0278,Yakal,Taglatawan,Rosario,8.017688,125.90383,7,12.3,18.4,Clay,Alive
T0279,Mahogany,San Isidro,Bislig,8.994866,125.086671,8,13.5,14.1,Clay,Alive
T0280,Gmelina,Taglatawan,San Francisco,8.07463,126.174044,14,25.7,29.5,Loam,Alive
T0281,Narra,San Roque,San Francisco,8.509422,126.495045,1,0.7,0.8,Sandy,Dead
T0282,Bagras,Salvacion,San Francisco,8.655724,126.272024,2,1.5,4,Clay,Dead
