Project_ID,Year,Municipality,Target_Seedlings,Planted_Seedlings,Survival_Rate,Funding_PHP,Rainfall_mm,Temperature_C,Monitoring_Visits,Soil_Type,Pest_Incidents,Fire_Incidents,Project_Status
P0043,2015,Talacogon,6170,4536,0.8138552876285915,731601,2274,26.9460007640374,12,Loam,0,0,Successful
P0044,2022,Veruela,4992,3957,0.18869041928490415,119994,1612,26.397545913687704,0,Peat,6,2,Failed
P0045,2017,San Francisco,6323,6526,0.8016624975404619,481667,2914,29.89704076616918,13,Sandy,1,0,Successful
P0046,2016,Loreto,2017,2301,0.42690967796316676,978599,2332,31.31921573629107,4,Silt,5,1,Moderate
P0047,2017,Barobo,5502,6091,0.8900821398422606,375968,2245,22.631643814647965,6,Peat,1,0,Successful
P0048,2019,Lianga,1856,1935,0.6773645157847761,180497,2649,30.946144514166377,4,Silt,3,1,Moderate
P0049,2025,Barobo,4129,3118,0.6138407438586332,356433,1922,26.473678425445932,9,Sandy,2,0,Moderate
P0050,2022,Bislig,4128,3486,0.8161661061247016,1798362,1889,29.642438842456965,10,Sandy,1,1,Successful
P0051,2024,Lanuza,8710,7446,0.5665663374814324,259225,1344,29.82888376833396,0,Peat,7,2,Failed
P0052,2021,Rosario,6632,5471,0.31995608583435153,215041,1212,30.071938910202498,2,Peat,7,3,Failed
P0053,2021,Lanuza,9824,9406,0.15453762244108782,308030,1636,29.537255876446952,4,Sandy,2,5,Failed
P0054,2021,Barobo,7088,6859,0.38292634779652296,96398,2540,33.030323010583714,4,Peat,3,1,Failed
P0055,2022,Bunawan,3811,3347,0.8003256459444537,832722,1516,25.40102996868743,4,Peat,0,0,Moderate
P0056,2015,Loreto,6548,5741,0.1779336709539807,394669,1913,31.51960084683752,0,Peat,3,3,Failed
P0057,2018,Bunawan,6746,7516,0.7438537233306014,739668,2005,30.253325412223877,3,Peat,1,0,Successful
P0058,2020,Veruela,1487,1627,0.8216446038101453,2231698,2243,29.290850201351027,15,Loam,2,0,Successful
P0059,2023,Loreto,3821,3262,0.7746095150994261,429513,1493,33.31174728580854,11,Sandy,1,0,Successful
P0060,2016,Loreto,5115,5917,0.6817696419622685,2457390,2267,26.177633093188252,8,Sandy,0,1,Successful
P0061,2015,Bunawan,8865,10428,0.8921857856230471,1144141,2283,29.893262056483827,6,Clay,4,0,Successful
P0062,2024,Talacogon,4241,3661,0.98,782200,2724,27.23477341164645,1,Silt,1,0,Successful
P0063,2016,Cagwait,3552,3115,0.347458404263347,294104,1933,33.08351519088168,0,Clay,8,2,Failed
P0064,2021,Barobo,7074,6740,0.6895931710264,933641,1680,27.480777510696576,9,Peat,0,0,Successful
P0065,2017,Bunawan,1226,1435,0.6251039474946525,2500000,3050,26.530310545343827,11,Peat,0,0,Successful
P0066,2024,Lanuza,4260,4848,0.5809571177465418,258354,2126,31.765180509679073,5,Loam,4,0,Moderate
P0067,2016,Talacogon,6306,4737,0.8903877343316258,564979,2519,26.271095152452673,17,Loam,2,0,Successful
P0068,2025,Lanuza,2375,2128,0.3865234845093534,644793,1794,26.46818560274861,3,Loam,5,0,Failed
P0069,2021,Cagwait,7493,7318,0.7797596159081146,641439,2089,26.20788279206543,9,Loam,0,1,Successful
P0070,2016,Veruela,4533,4313,0.23750196874949714,581516,1930,31.54758236647133,0,Loam,2,4,Failed
P0071,2017,Rosario,5943,4736,0.16709709141946744,1075022,2085,33.48009687896773,2,Loam,3,1,Failed
P0072,2025,Cagwait,1489,1681,0.8634751326324882,743946,1351,27.77782343824128,4,Loam,2,0,Successful
P0073,2021,Cortes,4244,4407,0.8713771621385586,1728217,2076,30.795492668085064,3,Loam,2,2,Successful
P0074,2018,Trento,9111,10194,0.10359782986329735,136622,1647,26.604562696306015,0,Loam,8,4,Failed
P0075,2015,Talacogon,1093,1234,0.7407806773816821,1018344,2153,27.391841337955242,16,Sandy,1,2,Moderate
P0076,2019,Veruela,2274,2442,0.6188885465072802,663831,2715,27.778562207114746,2,Loam,8,0,Moderate
P0077,2023,Cortes,1435,1319,0.5159432503204111,421770,1336,29.7136014313187,5,Silt,4,1,Failed
P0078,2022,Bislig,4308,4330,0.6457872251514885,617447,2101,27.71023597062549,1,Loam,1,0,Successful
P0079,2023,Veruela,831,648,0.6434175844584561,290701,2092,29.22727739348048,14,Peat,1,1,Successful
P0080,2024,Bunawan,8422,8732,0.7651030690232703,1502690,1919,26.387982904573775,11,Peat,1,0,Successful
P0081,2023,Lingig,3202,2528,0.3903898197653272,81496,1591,30.347571717382813,4,Loam,4,0,Failed
P0082,2021,Bunawan,6389,6689,0.7655632987512356,449206,2462,28.38719277418987,2,Loam,0,0,Moderate
P0083,2018,Cagwait,5554,4525,0.8506078913815132,2120566,1767,25.185275240272126,7,Peat,1,0,Successful
P0084,2019,Trento,4368,3314,0.7557318723187967,1177984,2656,27.21583327729641,4,Silt,0,1,Successful
P0085,2015,Veruela,4700,3678,0.6773630792334108,2500000,1378,27.140851175257204,17,Clay,0,0,Successful
P0086,2015,Barobo,701,491,0.903000057271915,2265750,2063,27.087298587492384,4,Sandy,2,2,Successful
P0087,2017,San Francisco,2997,3174,0.4342353489099143,350257,1802,28.579398641453626,4,Peat,2,0,Moderate
P0088,2022,Rosario,2342,2497,0.7454162265726787,582302,3004,28.689183851533464,0,Loam,3,0,Moderate
P0089,2016,Cagwait,9601,9192,0.2801861490550887,288358,1635,28.919262052231673,1,Sandy,3,0,Failed
P0090,2018,Bunawan,5158,4026,0.7408698487141421,182399,679,31.68178683492816,12,Loam,3,0,Moderate
P0091,2016,Trento,8044,5966,0.8478931290059278,494019,1200,24.57629842699246,15,Clay,1,0,Successful
P0092,2019,Rosario,8218,5831,0.5335605412669051,375031,2020,26.69757472882526,7,Clay,0,0,Moderate
P0093,2023,Veruela,1270,994,0.24728450794434226,82629,2168,36.94990906055889,1,Peat,4,3,Failed
P0094,2015,Barobo,3655,4186,0.5090910547184705,591291,2225,25.905021612526927,2,Sandy,1,1,Moderate
P0095,2019,Veruela,2128,1746,0.3799643369325333,249859,1900,26.6156133132256,2,Sandy,3,2,Failed
P0096,2023,Loreto,886,777,0.559258779546126,171730,2697,30.336191862503046,8,Clay,1,0,Moderate
P0097,2015,Trento,6531,4915,0.4787426310317554,776663,1676,23.307200365565315,6,Loam,3,0,Moderate
P0098,2023,Cortes,6939,5628,0.5301242307618842,988091,2536,27.911815225068903,0,Peat,4,0,Moderate
P0099,2022,Bunawan,6901,6622,0.787857702971915,1210711,1420,32.86456231269122,3,Silt,2,0,Successful
P0100,2018,Barobo,4508,4525,0.5671265905585188,789750,1857,23.637660194616497,8,Clay,1,1,Successful
P0101,2025,San Francisco,2966,2440,0.8258168114788699,1610344,1315,22.545088785653217,20,Clay,0,0,Successful
P0102,2024,Veruela,2782,2027,0.43243345303398323,961150,1835,24.752046995105754,0,Peat,2,2,Moderate
P0103,2019,San Francisco,2356,2109,0.6646667596794256,1289119,2372,29.745898920867464,6,Loam,0,1,Successful
P0104,2019,Veruela,8480,6929,0.3475186783467148,309374,2068,31.31194179996453,2,Sandy,1,0,Moderate
P0105,2025,Bunawan,2498,2022,0.06885505029849537,364797,1837,28.71852800755373,4,Clay,2,2,Failed
P0106,2020,Rosario,5976,7051,0.6444552496887711,2500000,1843,29.20803101000267,12,Peat,0,0,Successful
P0107,2021,Lianga,9928,10008,0.46491748508434116,365271,1885,31.975638318779975,0,Peat,0,0,Moderate
P0108,2022,Rosario,5169,5057,0.5934562792537196,1467407,901,34.46836603607456,3,Peat,4,1,Failed
P0109,2022,Veruela,9842,8935,0.7274120324104796,676607,3217,26.88416179705038,12,Sandy,1,0,Successful
P0110,2025,Lanuza,4818,4405,0.7977750106268031,1040469,2217,21.746320705825035,13,Clay,2,0,Successful
P0111,2016,Lingig,7564,7340,0.8200481386506329,604934,2106,25.447802693975785,5,Peat,2,0,Successful
P0112,2023,Hinatuan,7946,8329,0.7931065186215849,1207161,3353,26.432989512661855,2,Sandy,4,1,Successful
P0113,2021,Lianga,1931,2029,0.3091579154983609,96584,1054,29.352653008554025,7,Loam,0,0,Failed
P0114,2018,Cortes,6124,4812,0.15265887309610573,203367,1124,29.5303514974782,0,Silt,4,4,Failed
P0115,2018,Lianga,7961,7563,0.7241113057935055,255551,1342,31.297236494826674,6,Clay,2,0,Moderate
P0116,2025,Lingig,2319,2100,0.5730075301093039,329021,1759,33.18607106671895,3,Sandy,4,0,Failed
P0117,2022,San Francisco,1630,1850,0.08442778282282398,624548,2058,29.57081586518804,0,Silt,1,5,Failed
P0118,2018,Trento,7063,7173,0.677597140911362,1680856,2843,30.246212190129548,9,Silt,0,0,Successful
P0119,2020,San Francisco,3158,3051,0.2808265520672192,70242,3343,30.894153416577723,2,Sandy,3,4,Failed
P0120,2019,Cagwait,4000,3030,0.4342554646107771,2500000,650,28.661264932156428,9,Sandy,5,0,Moderate
P0121,2017,San Francisco,9066,9091,0.39083517748382113,369837,2165,32.26636039277491,1,Sandy,3,4,Failed
P0122,2024,Cortes,2620,1987,0.21804189166307417,174177,1465,30.18063012059479,0,Peat,5,2,Failed
P0123,2025,Lanuza,4520,3926,0.98,1146492,2048,32.6445279427444,2,Loam,0,0,Successful
P0124,2016,Rosario,3759,2899,0.8990548594343597,1163648,2028,23.903972083013603,22,Peat,0,0,Successful
P0125,2023,Rosario,2323,2429,0.8012574030632216,607533,1854,26.212072752269954,9,Silt,0,0,Successful
P0126,2024,Hinatuan,1974,1585,0.6732383515983679,663068,3010,28.183702757615123,9,Silt,0,1,Moderate
P0127,2023,Bislig,2742,2456,0.4748260594100233,195053,2305,31.098631726144976,0,Silt,6,1,Failed
P0128,2015,Veruela,3743,4296,0.24104735167184593,224174,1813,33.169901217757726,3,Sandy,6,2,Failed
P0129,2024,Lanuza,7490,6008,0.6983782755458036,598625,3210,27.43900358190961,2,Clay,2,1,Successful
P0130,2017,Bislig,5660,5399,0.5593771675563577,201761,1092,24.944425876234483,6,Peat,4,0,Moderate
P0131,2022,Lingig,3634,3305,0.6533963349397534,637233,1201,30.60628474113751,5,Clay,4,0,Moderate
P0132,2020,Cagwait,2570,1822,0.7939060398653418,1602597,1093,29.387396915354913,23,Loam,2,0,Successful
P0133,2019,Bunawan,859,941,0.6223003517809003,1516458,1980,22.645353351551485,5,Loam,3,0,Successful
P0134,2019,Lingig,1641,1205,0.6997175556049158,1927295,2497,27.490489665823002,4,Peat,1,1,Successful
P0135,2020,Veruela,2135,2000,0.3096437990967871,377831,1861,26.024645423299255,1,Silt,4,0,Failed
P0136,2021,Veruela,4500,4411,0.772433439567417,672948,2489,25.838372256244845,20,Loam,0,0,Successful
P0137,2015,Loreto,3861,3915,0.786705061214777,1087830,1153,26.242977682593,7,Clay,1,0,Moderate
P0138,2023,Loreto,7083,7396,0.38368144691212025,212405,2481,30.523161745604966,1,Clay,3,1,Moderate
P0139,2017,Talacogon,8335,6890,0.8305589241835875,509003,2543,27.79207543543046,2,Sandy,1,0,Successful
P0140,2018,Lingig,506,356,0.5284758351659605,154074,2239,26.78602249810993,2,Silt,2,2,Failed
P0141,2024,Talacogon,3767,3999,0.6380029643591915,666694,664,32.20016490739336,1,Sandy,6,3,Failed
P0142,2015,San Francisco,7064,6836,0.7395602576816039,2123254,2586,23.915485440178962,11,Peat,4,0,Successful
P0143,2025,Bunawan,5428,6068,0.608971534326424,827984,1287,29.32528447617736,9,Loam,4,0,Moderate
P0144,2024,Lianga,3106,3449,0.8369760357198647,2351081,2161,25.464973326771112,17,Sandy,0,0,Successful
P0145,2017,Hinatuan,6406,7185,0.7995481731553291,517270,2720,26.5858072936737,13,Sandy,1,0,Successful
P0146,2016,Lianga,3773,3556,0.7701154798760694,1331302,2454,28.76067687009596,4,Peat,0,0,Successful
P0147,2016,Hinatuan,8111,7030,0.6023170467400055,518874,1489,29.80362349764882,0,Clay,1,0,Moderate
P0148,2015,Loreto,1413,1548,0.24613046977363784,1093957,2003,31.8424226838899,9,Clay,1,0,Moderate
P0149,2022,Loreto,2511,2324,0.8482069490062631,927905,1481,27.294365750821367,5,Peat,1,0,Successful
P0150,2017,Loreto,1942,1537,0.7926177903661967,753637,3090,28.266127157408352,4,Clay,2,0,Successful
P0151,2017,Lanuza,6046,6816,0.28885351445104285,443629,1676,28.905656693989187,0,Peat,4,0,Failed
P0152,2020,Trento,2329,2658,0.98,2014614,3071,27.954974706556992,6,Clay,0,0,Successful
P0153,2022,Hinatuan,9267,8647,0.7125065981209449,606842,2084,28.59871512002128,14,Peat,0,0,Successful
P0154,2023,Lingig,6968,5141,0.5016308813121964,544597,1685,28.25422538136406,4,Clay,1,1,Moderate
P0155,2023,Talacogon,1429,1277,0.5988174623086628,145064,1341,25.490623789768758,0,Sandy,4,3,Failed
P0156,2018,Lanuza,4199,4626,0.6967938695150143,163459,2925,28.32867724082724,9,Sandy,0,0,Successful
P0157,2019,Rosario,1554,1788,0.48398616604761535,664357,1574,29.411403693388642,2,Clay,3,1,Moderate
P0158,2016,Lianga,6244,5006,0.299416440719681,466753,2186,28.29956630913012,0,Peat,6,1,Failed
P0159,2025,Cagwait,2400,1760,0.864073448212955,1244269,2170,24.289032409818713,18,Sandy,2,1,Successful
P0160,2023,Cortes,7480,8517,0.5749363008823977,143589,814,32.18969787625991,6,Loam,1,0,Moderate
P0161,2022,Veruela,7569,6772,0.6507374652847737,773646,2057,28.728613777236006,8,Clay,1,0,Successful
P0162,2017,Talacogon,3915,3800,0.48613977242473727,121612,1292,27.927297422695727,5,Loam,2,0,Moderate
P0163,2025,Bislig,942,1115,0.4771174680145347,1646479,2020,25.65741779213128,5,Loam,3,1,Moderate
P0164,2023,Barobo,6718,4926,0.5407334745732346,256648,1285,26.445462928946636,2,Silt,3,0,Moderate
P0165,2017,Rosario,5152,5276,0.8225843658629829,2500000,2955,30.75647599196558,4,Loam,0,0,Successful
P0166,2023,Lingig,8439,6219,0.3785488058243161,601886,1745,30.344154852170114,0,Loam,6,1,Failed
P0167,2016,Cagwait,8333,7397,0.6023988245951598,509034,2293,26.123532332498232,6,Silt,0,0,Successful
P0168,2024,Talacogon,9870,10875,0.8863940987560857,427826,2793,28.77422307806164,17,Silt,1,0,Successful
P0169,2023,Cortes,8097,7422,0.8052568845996624,1333151,2978,25.46400453138419,10,Silt,3,0,Successful
P0170,2022,Lanuza,4958,5942,0.7161438457112688,305003,1987,32.25210757570095,1,Peat,2,0,Moderate
P0171,2023,Lingig,7091,6945,0.6033037992748806,616535,1537,31.882001337241814,1,Silt,2,1,Moderate
P0172,2019,Bunawan,9949,8561,0.8901322957735762,699132,1335,26.333564821993058,2,Peat,3,0,Successful
P0173,2025,Veruela,2809,2275,0.6059854373740152,159971,1588,26.92832438242285,5,Clay,5,1,Moderate
P0174,2025,Talacogon,6768,5923,0.9146225756202748,195317,2029,20.9546670032693,13,Peat,1,0,Successful
P0175,2016,Trento,1410,1249,0.6126700763221334,677806,2064,24.79604807112158,2,Clay,2,2,Moderate
P0176,2022,Loreto,4840,3554,0.7702084753557096,658287,2192,24.15132556260561,12,Silt,1,0,Successful
P0177,2020,Loreto,4509,3989,0.8226921664536259,377155,2412,28.837975852468464,12,Silt,1,0,Moderate
P0178,2022,Veruela,7128,6644,0.8689037122279892,1748033,2032,26.6844157388966,9,Clay,0,0,Successful
P0179,2025,Cortes,2669,2832,0.40032421894061787,716082,1765,26.636661281461897,0,Sandy,4,1,Failed
P0180,2019,Hinatuan,2672,2747,0.6523695583461664,821720,3110,26.797089893838606,20,Peat,0,0,Successful
P0181,2024,Cagwait,6168,6503,0.6511692382536463,779769,2605,28.76334286911837,11,Loam,1,0,Successful
P0182,2016,Lanuza,6813,4797,0.8092715482141853,1499032,2363,28.819598374788967,9,Silt,1,0,Successful
P0183,2020,Loreto,8815,7129,0.3403729676875537,120621,1438,25.250824297852798,6,Peat,3,0,Failed
P0184,2019,Talacogon,8536,8799,0.23402284089883574,350783,1420,29.679341298790423,5,Peat,2,2,Failed
P0185,2019,Bislig,7289,6866,0.794098269961206,1561118,1889,24.041648057570974,11,Silt,1,0,Successful
P0186,2015,Lianga,1285,902,0.7406352313652316,961157,1675,30.754321742850685,2,Clay,3,1,Moderate
P0187,2016,Hinatuan,6639,7317,0.41735634643704184,86988,2253,31.960366040883745,1,Silt,2,0,Failed
P0188,2022,Lianga,6844,7435,0.4130789788296715,323876,1866,26.254931934188853,4,Peat,3,1,Moderate
P0189,2017,Rosario,2916,2840,0.5366189407428468,297637,1190,26.584886993999,2,Sandy,3,0,Moderate
P0190,2024,Cagwait,9488,6956,0.699503351914744,1096517,3460,26.346832373754232,12,Clay,0,0,Successful
P0191,2017,San Francisco,4654,5041,0.7412300083591439,1476410,2591,21.868016513171654,20,Silt,3,0,Successful
P0192,2022,Hinatuan,6119,6069,0.26209380681185,918569,955,30.839920433601442,3,Loam,5,0,Failed
P0193,2022,Bunawan,2436,2657,0.25312961843543924,210597,1534,29.317888634149675,0,Silt,6,5,Failed
P0194,2016,Veruela,4307,4633,0.3993837553631927,392921,2066,30.925437706419647,17,Peat,2,0,Moderate
P0195,2022,Rosario,7651,8427,0.767234531848181,2500000,3422,24.75397695509362,1,Peat,0,0,Successful
P0196,2025,San Francisco,9993,9583,0.723939236315269,1278260,1735,25.95219262937517,3,Loam,0,0,Successful
P0197,2015,Lanuza,3736,2877,0.19846615719972788,1519753,2585,24.73368685490221,1,Clay,3,1,Moderate
P0198,2020,Hinatuan,2852,2953,0.6074160834302329,368061,2639,27.489273591264368,1,Peat,5,3,Failed
P0199,2022,Trento,2432,2456,0.4724277515903341,136330,1422,27.04504500982945,0,Clay,6,2,Failed
P0200,2017,Trento,9056,9700,0.2673178985105006,122364,1633,32.48993419711611,2,Clay,3,4,Failed
P0201,2022,Bunawan,5416,4251,0.5522582859688718,186184,1378,26.75434537812152,9,Silt,3,2,Moderate
P0202,2015,Cagwait,5998,4783,0.6628345652682438,1702184,2277,27.810439211861535,10,Clay,2,0,Successful
P0203,2025,Loreto,1446,1655,0.9495722877810866,2500000,2378,26.548091490345488,6,Peat,0,0,Successful
P0204,2025,Lingig,1939,2084,0.5856204172682357,1208189,2195,26.826336834967968,0,Peat,10,2,Failed
P0205,2023,Talacogon,8230,9498,0.568803247389583,1090747,2654,28.079248942070894,4,Sandy,4,0,Moderate
P0206,2025,Rosario,5357,5782,0.8823530644185344,2500000,1951,28.997758329658986,13,Clay,0,0,Successful
P0207,2023,Barobo,840,838,0.7975286778933924,649078,1219,24.48060151864162,9,Sandy,0,0,Successful
P0208,2019,Hinatuan,882,905,0.38959294733488836,244243,1987,30.522781976828448,6,Silt,1,2,Moderate
P0209,2024,Rosario,8991,10290,0.7388176631036343,1973621,2576,25.37569769630576,12,Sandy,2,0,Successful
P0210,2018,Hinatuan,638,631,0.7931927966771958,1405247,2549,26.2925401848179,4,Clay,1,0,Successful
P0211,2025,Veruela,858,871,0.49545427375078677,618866,1803,29.826707807525118,0,Peat,2,1,Moderate
P0212,2020,Hinatuan,5431,4226,0.5237616067077957,766671,2074,26.84140960695128,4,Silt,4,0,Moderate
P0213,2021,Veruela,3956,3706,0.5390320530989063,729798,2909,28.593937148339663,16,Clay,1,0,Moderate
P0214,2019,Hinatuan,2127,2250,0.7719121502134539,2500000,2629,26.71327292802977,3,Silt,0,0,Successful
P0215,2025,Trento,9995,8350,0.556271018859698,1552689,1775,28.823420016759545,9,Loam,3,0,Moderate
P0216,2024,Trento,7126,5708,0.67393949336034,1551757,2099,21.548152236191257,0,Clay,0,0,Successful
P0217,2023,Cagwait,5504,4716,0.7082983850872064,1966983,2298,22.925795461979792,14,Loam,1,0,Successful
P0218,2017,Cortes,9826,8064,0.39584988811600375,845249,2982,30.039917515117097,4,Sandy,3,0,Moderate
P0219,2021,Bislig,7152,5774,0.6673378659623441,403646,1890,31.092953514122627,3,Clay,3,0,Moderate
P0220,2024,Bislig,6916,6310,0.05,521516,1788,27.723783241171198,1,Loam,4,1,Failed
P0221,2024,Cortes,3670,4234,0.6884308411980311,207088,1710,27.889929119572166,1,Peat,2,0,Moderate
P0222,2025,Loreto,4335,4133,0.7163619276715413,1285586,2659,29.236798132255753,4,Sandy,5,3,Moderate
P0223,2019,Bislig,8517,6762,0.7497819413017379,408655,3575,29.23304400414676,15,Clay,2,1,Successful
P0224,2021,Cagwait,2651,1957,0.5196862912172702,1267548,2670,22.43080682082288,8,Clay,0,0,Successful
P0225,2016,Barobo,9929,10406,0.743868943803271,530757,2449,25.28489938255406,10,Peat,2,0,Successful
P0226,2018,Barobo,7405,6600,0.7735815838711181,1562960,2422,26.668551550375312,14,Peat,1,0,Successful
P0227,2016,Talacogon,3334,3703,0.17851624920995213,291152,369,31.757850493090125,6,Loam,2,6,Failed
P0228,2021,Talacogon,9690,9978,0.7284781606191757,304908,2847,33.74607620930374,19,Loam,0,1,Successful
P0229,2016,Barobo,3067,3367,0.5342273278408692,405705,1880,29.429985682975705,4,Loam,6,0,Failed
P0230,2025,Rosario,1807,1510,0.629791259476209,370327,2257,24.98255634474003,0,Silt,2,0,Moderate
P0231,2015,Lingig,9348,9779,0.190561023987066,573028,1373,31.005670193003244,0,Sandy,2,1,Failed
P0232,2023,Lianga,3160,2629,0.3582880996485482,570938,1769,31.802489473851775,5,Clay,3,0,Moderate
P0233,2015,Cortes,4230,4947,0.5107579218868276,771430,1753,28.770035302448754,0,Sandy,3,0,Moderate
P0234,2022,Talacogon,6707,6828,0.5243851864779474,281184,2612,26.233378637114267,4,Peat,3,0,Moderate
P0235,2016,Lingig,3662,3157,0.8296199187363317,644481,2172,29.89498485370005,8,Sandy,0,0,Successful
P0236,2022,Lingig,1640,1368,0.48576199449188096,404403,3249,30.158864046246087,2,Sandy,1,0,Moderate
P0237,2017,San Francisco,8958,7125,0.8311499575361861,1983946,2658,24.93479788951094,3,Loam,0,0,Successful
P0238,2020,Trento,2208,2312,0.973515404006023,2500000,1634,28.453564043835854,6,Peat,0,0,Successful
P0239,2017,Veruela,4130,3342,0.6478601226933116,313753,1922,30.993163919147182,7,Sandy,3,0,Moderate
P0240,2021,Cagwait,3711,3702,0.7751911492669228,2360232,2008,30.454725106397234,9,Clay,1,1,Successful
P0241,2024,Barobo,7038,5857,0.29435893405253877,77299,483,29.83387756172636,0,Loam,10,1,Failed
P0242,2023,Bislig,975,1005,0.270065761214818,133223,2759,29.104801384551703,0,Sandy,3,3,Failed
P0243,2016,Cortes,8184,9063,0.48528972774330026,154614,2221,33.06818455520316,2,Peat,2,1,Failed
P0244,2019,Rosario,9668,10528,0.7172686554048697,363698,2719,24.474598742547787,10,Clay,0,0,Successful
P0245,2020,Barobo,1707,1844,0.7845222708999983,307376,2499,28.596448227302513,13,Peat,0,0,Successful
P0246,2018,Bunawan,2460,1952,0.32716770626335195,403397,970,26.574933431588928,4,Peat,5,2,Failed
P0247,2018,Veruela,1057,786,0.4897858968626162,485315,1709,31.163440680649007,8,Peat,1,1,Moderate
